Fecha;Item;Cajas
2021-04-07;CHIPS;0.67
2021-04-07;SNACKS;0.67
2021-04-07;WAFFER;1
2021-04-07;CHIPS;1
2021-04-07;OREO;2
2021-04-07;WAFFER;1
2021-04-07;CHIPS;1
2021-04-07;SNACKS;2
2021-04-07;OREO;1
2021-04-07;WAFFER;1
2021-04-07;CHIPS;1
2021-04-07;SNACKS;1
2021-04-08;OREO;2
2021-04-08;WAFFER;2
2021-04-08;CHIPS;2
2021-04-08;WAFFER;0.5
2021-04-08;CHIPS;0.5
2021-04-08;SNACKS;1
2021-04-08;CHIPS;1
2021-04-08;CHIPS;1
2021-04-08;OREO;1
2021-04-08;WAFFER;1
2021-04-09;SNACKS;2
2021-04-09;WAFFER;0.33
2021-04-09;CHIPS;0.33
2021-04-09;SNACKS;0.33
2021-04-09;OREO;2
2021-04-09;WAFFER;2
2021-04-09;CHIPS;2
2021-04-09;SNACKS;2
2021-04-09;SNACKS;2
2021-04-09;OREO;2
2021-04-09;WAFFER;2
2021-04-09;CHIPS;2
2021-04-09;SNACKS;2
2021-04-09;WAFFER;0.92
2021-04-09;WAFFER;0.92
2021-04-12;OREO;2
2021-04-12;CHIPS;0.5
2021-04-12;SNACKS;0.5
2021-04-12;OREO;1
2021-04-12;WAFFER;1
2021-04-12;CHIPS;1
2021-04-12;SNACKS;0.25
2021-04-12;SNACKS;0.25
2021-04-12;CHIPS;0.5
2021-04-13;OREO;1
2021-04-13;WAFFER;1
2021-04-13;CHIPS;1
2021-04-13;SNACKS;1
2021-04-14;WAFFER;0.83
2021-04-14;SNACKS;1.08
2021-04-14;OREO;2
2021-04-14;CHIPS;2
2021-04-14;SNACKS;1
2021-04-14;OREO;1
2021-04-15;WAFFER;0.83
2021-04-15;CHIPS;1
2021-04-16;OREO;1
2021-04-16;CHIPS;1
2021-04-16;OREO;1
2021-04-16;WAFFER;1
2021-04-16;CHIPS;1
2021-04-16;SNACKS;1
2021-04-16;CHIPS;1
2021-04-20;OREO;3
2021-04-21;OREO;1
2021-04-21;SNACKS;0.5
2021-04-21;WAFFER;0.83
2021-04-21;CHIPS;1
2021-04-22;WAFFER;1
2021-04-22;OREO;3
2021-04-22;CHIPS;3
2021-04-22;SNACKS;3
2021-04-23;OREO;0.5
2021-04-23;CHIPS;1
2021-04-23;SNACKS;1
2021-04-26;CHIPS;1
2021-04-26;OREO;2
2021-04-27;CHIPS;1
2021-04-27;OREO;1
2021-04-27;CHIPS;0.5
2021-04-27;OREO;2
2021-04-27;WAFFER;2
2021-04-27;SNACKS;2
2021-04-27;CHIPS;2
2021-04-27;OREO;0.5
2021-04-27;CHIPS;1
2021-04-27;SNACKS;0.5
2021-04-27;WAFFER;0.25
2021-04-27;CHIPS;0.5
2021-04-28;CHIPS;2
2021-04-28;SNACKS;2
2021-04-28;OREO;1
2021-04-28;OREO;1
2021-04-28;WAFFER;0.5
2021-04-28;CHIPS;0.5
2021-04-28;OREO;2
2021-04-28;CHIPS;1
2021-04-28;SNACKS;1
2021-04-28;WAFFER;4
2021-04-29;OREO;1
2021-04-29;CHIPS;1
2021-04-29;WAFFER;1
2021-04-29;OREO;0.5
2021-04-29;WAFFER;1
2021-04-29;CHIPS;1
2021-04-29;SNACKS;1
2021-04-29;OREO;2
2021-04-29;OREO;2
2021-04-29;WAFFER;2
2021-04-29;SNACKS;2
2021-04-29;OREO;0.5
2021-04-29;WAFFER;1
2021-04-29;CHIPS;1
2021-04-29;SNACKS;1
2021-04-30;SNACKS;0.33
2021-04-30;OREO;0.21
2021-04-30;SNACKS;1
2021-04-30;CHIPS;1
2021-04-30;SNACKS;0.33
2021-04-30;OREO;0.21
2021-04-30;CHIPS;0.17
2021-04-09;WAFFER;0.92
2021-04-09;OREO;2
2021-04-09;WAFFER;2
2021-04-09;CHIPS;2
2021-04-09;SNACKS;2
2021-04-09;SNACKS;2
2021-04-12;SNACKS;0.25
2021-04-16;CHIPS;0.5
2021-04-21;WAFFER;0.83
2021-04-21;CHIPS;1
2021-04-28;CHIPS;0.5
2021-04-29;OREO;0.5
2021-04-29;WAFFER;1
2021-04-29;CHIPS;1
2021-04-29;SNACKS;1
2021-04-30;SNACKS;0.33
2021-04-30;OREO;0.21
2021-05-04;OREO;1
2021-05-04;CHIPS;1
2021-05-06;OREO;1
2021-05-06;OREO;2
2021-05-06;CHIPS;2
2021-05-06;OREO;0.08
2021-05-06;OREO;1
2021-05-06;WAFFER;1
2021-05-06;CHIPS;1
2021-05-06;OREO;2
2021-05-06;WAFFER;2
2021-05-06;CHIPS;2
2021-05-06;WAFFER;0.5
2021-05-06;OREO;2
2021-05-06;WAFFER;2
2021-05-06;CHIPS;2
2021-05-06;SNACKS;2
2021-05-06;OREO;2
2021-05-06;WAFFER;2
2021-05-06;CHIPS;2
2021-05-06;SNACKS;2
2021-05-07;CHIPS;1
2021-05-07;CHIPS;0.25
2021-05-07;SNACKS;0.25
2021-05-07;WAFFER;0.25
2021-05-07;CHIPS;0.17
2021-05-07;WAFFER;0.25
2021-05-07;SNACKS;0.25
2021-05-07;OREO;1
2021-05-10;OREO;2
2021-05-10;CHIPS;1
2021-05-10;WAFFER;1
2021-05-10;OREO;1
2021-05-11;OREO;2
2021-05-11;OREO;2
2021-05-11;WAFFER;2
2021-05-11;CHIPS;2
2021-05-11;SNACKS;2
2021-05-11;WAFFER;1
2021-05-11;CHIPS;0.5
2021-05-12;CHIPS;1
2021-05-12;CHIPS;1
2021-05-12;WAFFER;1
2021-05-12;CHIPS;1
2021-05-12;WAFFER;1
2021-05-12;OREO;1
2021-05-12;OREO;1
2021-05-12;OREO;1
2021-05-12;WAFFER;1
2021-05-12;OREO;1
2021-05-13;OREO;6
2021-05-13;WAFFER;4
2021-05-13;CHIPS;4
2021-05-13;OREO;2
2021-05-13;CHIPS;1
2021-05-13;SNACKS;1
2021-05-13;OREO;1
2021-05-13;CHIPS;1
2021-05-13;OREO;2
2021-05-13;SNACKS;2
2021-05-13;OREO;0.5
2021-05-13;WAFFER;0.5
2021-05-13;CHIPS;0.5
2021-05-13;OREO;0.5
2021-05-14;WAFFER;1
2021-05-14;SNACKS;1
2021-05-14;CHIPS;1
2021-05-17;OREO;1
2021-05-18;SNACKS;1
2021-05-18;CHIPS;1
2021-05-19;CHIPS;0.33
2021-05-19;WAFFER;1
2021-05-20;CHIPS;1
2021-05-20;WAFFER;1
2021-05-20;OREO;2
2021-05-20;OREO;1
2021-05-21;OREO;1
2021-05-21;OREO;1
2021-05-21;CHIPS;1
2021-05-21;SNACKS;0.17
2021-05-21;CHIPS;0.17
2021-05-21;OREO;0.17
2021-05-24;OREO;5
2021-05-24;WAFFER;5
2021-05-24;CHIPS;5
2021-05-24;SNACKS;5
2021-05-24;CHIPS;1
2021-05-24;CHIPS;1
2021-05-25;CHIPS;2
2021-05-25;OREO;1
2021-05-25;WAFFER;1
2021-05-25;SNACKS;0.5
2021-05-26;CHIPS;1
2021-05-26;OREO;2
2021-05-26;WAFFER;2
2021-05-26;CHIPS;2
2021-05-26;SNACKS;2
2021-05-27;OREO;10
2021-05-27;WAFFER;1
2021-05-27;CHIPS;1
2021-05-27;CHIPS;0.5
2021-05-27;SNACKS;0.5
2021-05-27;WAFFER;0.5
2021-05-28;SNACKS;1
2021-05-28;CHIPS;0.17
2021-05-28;OREO;0.17
2021-05-28;WAFFER;1
2021-05-28;CHIPS;1
2021-05-28;SNACKS;0.5
2021-05-28;WAFFER;0.5
2021-05-06;OREO;2
2021-05-06;WAFFER;2
2021-05-06;CHIPS;2
2021-05-06;SNACKS;2
2021-05-14;OREO;2
2021-05-14;SNACKS;2
2021-06-25;WAFFER;1
2021-06-25;OREO;1
2021-06-25;SNACKS;0.5
2021-06-23;OREO;1
2021-06-10;SNACKS;1
2021-06-10;OREO;1
2021-06-28;SNACKS;0.17
2021-06-28;CHIPS;0.25
2021-06-28;OREO;0.33
2021-06-09;OREO;2
2021-06-25;OREO;0.21
2021-06-25;OREO;1.83
2021-06-25;OREO;0.08
2021-06-25;SNACKS;0.25
2021-06-10;CHIPS;3
2021-06-10;SNACKS;3
2021-06-29;CHIPS;1
2021-06-29;SNACKS;0.5
2021-06-10;OREO;0.17
2021-06-10;SNACKS;0.33
2021-06-22;OREO;1
2021-06-22;WAFFER;1
2021-06-22;SNACKS;1
2021-06-10;CHIPS;3
2021-06-02;OREO;0.5
2021-06-22;WAFFER;0.5
2021-06-17;OREO;5
2021-06-29;WAFFER;0.75
2021-06-21;SNACKS;0.67
2021-06-09;CHIPS;1
2021-06-25;OREO;2
2021-06-22;SNACKS;0.67
